구별,1인_전체,1인_20세미만,1인_20대,1인_30대,1인_40대,1인_50대,1인_60대,1인_70대,1인_80세 이상
종로구,22835,526,6520,4209,3130,3081,2451,1961,957
중구,19671,567,4582,3735,3036,2873,2348,1731,799
용산구,31641,250,6699,7507,5375,4192,3422,2730,1466
성동구,37074,878,9982,7625,5657,5109,3697,2869,1257
광진구,53169,805,16065,13225,7583,6570,4529,3032,1360
동대문구,52650,1779,17169,9031,6302,6445,5631,4487,1806
중랑구,45717,232,5880,8705,8127,9414,6900,4569,1890
성북구,54117,1680,18264,8673,6686,6269,5597,4780,2168
강북구,36668,199,4933,6150,5893,6759,6119,4697,1918
도봉구,28296,245,3129,4259,4774,5334,4715,3825,2015
노원구,47641,1246,9121,6468,6663,7215,7435,6435,3058
은평구,44440,207,6284,9333,7557,7283,6494,5193,2089
서대문구,43298,980,15490,7726,5084,4595,4132,3621,1670
마포구,53382,637,15906,14837,7904,4998,4079,3392,1629
양천구,32878,166,3786,6322,5887,5945,5281,3631,1860
강서구,60988,279,11257,15160,9540,8921,7896,5245,2690
구로구,42055,243,7881,9942,7003,6325,5364,3695,1602
금천구,31728,98,5347,6597,5498,5989,4217,2793,1189
영등포구,49453,223,11063,12581,7634,6908,5390,3830,1824
동작구,52954,1140,17329,12643,6688,5275,4612,3592,1675
관악구,103972,1053,38095,28451,12792,9262,7280,5097,1942
서초구,38357,502,8017,11301,6785,4547,3639,2324,1242
강남구,61998,572,12942,20651,10522,6494,5395,3534,1888
송파구,54409,272,9222,15554,9748,7637,6073,3923,1980
강동구,39469,158,5640,8794,6871,7121,5837,3364,1684
